Epoch:0, Duration:15.748965, Train_Cost:0.662821, Valid_Cost:0.570331, Test_Cost:0.549016
Epoch:1, Duration:15.390428, Train_Cost:0.575274, Valid_Cost:0.503948, Test_Cost:0.462626
Epoch:2, Duration:16.076005, Train_Cost:0.534488, Valid_Cost:0.491429, Test_Cost:0.449028
Epoch:3, Duration:15.970392, Train_Cost:0.523031, Valid_Cost:0.502338, Test_Cost:0.476770
Epoch:4, Duration:15.526357, Train_Cost:0.496204, Valid_Cost:0.473241, Test_Cost:0.442601
Epoch:5, Duration:15.994510, Train_Cost:0.476432, Valid_Cost:0.454551, Test_Cost:0.429413
Epoch:6, Duration:15.810068, Train_Cost:0.447005, Valid_Cost:0.433798, Test_Cost:0.425904
Epoch:7, Duration:15.851910, Train_Cost:0.404005, Valid_Cost:0.398540, Test_Cost:0.411406
Epoch:8, Duration:15.854700, Train_Cost:0.354420, Valid_Cost:0.353240, Test_Cost:0.382013
Epoch:9, Duration:15.296114, Train_Cost:0.308457, Valid_Cost:0.323336, Test_Cost:0.357572
Epoch:10, Duration:15.828133, Train_Cost:0.279977, Valid_Cost:0.305046, Test_Cost:0.341875
Epoch:11, Duration:15.631537, Train_Cost:0.261864, Valid_Cost:0.288475, Test_Cost:0.318888
Epoch:12, Duration:16.026595, Train_Cost:0.244962, Valid_Cost:0.266273, Test_Cost:0.291332
Epoch:13, Duration:15.502330, Train_Cost:0.233568, Valid_Cost:0.271351, Test_Cost:0.289810
Epoch:14, Duration:15.604763, Train_Cost:0.223628, Valid_Cost:0.250896, Test_Cost:0.265264
Epoch:15, Duration:15.721483, Train_Cost:0.216268, Valid_Cost:0.255017, Test_Cost:0.264992
Epoch:16, Duration:15.662072, Train_Cost:0.209468, Valid_Cost:0.236111, Test_Cost:0.244462
Epoch:17, Duration:15.738020, Train_Cost:0.203674, Valid_Cost:0.252187, Test_Cost:0.258468
Epoch:18, Duration:15.634428, Train_Cost:0.208074, Valid_Cost:0.236711, Test_Cost:0.242002
Epoch:19, Duration:15.743606, Train_Cost:0.205881, Valid_Cost:0.228610, Test_Cost:0.233057
Epoch:20, Duration:15.589174, Train_Cost:0.197957, Valid_Cost:0.230925, Test_Cost:0.233549
Epoch:21, Duration:15.940113, Train_Cost:0.192151, Valid_Cost:0.245379, Test_Cost:0.248289
Epoch:22, Duration:15.616072, Train_Cost:0.189360, Valid_Cost:0.244797, Test_Cost:0.245494
Epoch:23, Duration:15.449451, Train_Cost:0.184808, Valid_Cost:0.224354, Test_Cost:0.226027
Epoch:24, Duration:15.858028, Train_Cost:0.188299, Valid_Cost:0.233033, Test_Cost:0.235435
Epoch:25, Duration:16.370128, Train_Cost:0.189910, Valid_Cost:0.242351, Test_Cost:0.245027
Epoch:26, Duration:15.840830, Train_Cost:0.188122, Valid_Cost:0.250416, Test_Cost:0.249857
Epoch:27, Duration:15.524790, Train_Cost:0.182179, Valid_Cost:0.221595, Test_Cost:0.221600
Epoch:28, Duration:15.417368, Train_Cost:0.180464, Valid_Cost:0.233294, Test_Cost:0.233015
Epoch:29, Duration:15.114250, Train_Cost:0.177456, Valid_Cost:0.239104, Test_Cost:0.238433
Epoch:30, Duration:15.656500, Train_Cost:0.171005, Valid_Cost:0.248129, Test_Cost:0.249345
Epoch:31, Duration:15.890985, Train_Cost:0.180036, Valid_Cost:0.217481, Test_Cost:0.218671
Epoch:32, Duration:15.672506, Train_Cost:0.176209, Valid_Cost:0.223211, Test_Cost:0.224419
Epoch:33, Duration:15.315756, Train_Cost:0.174628, Valid_Cost:0.213649, Test_Cost:0.213724
Epoch:34, Duration:15.794247, Train_Cost:0.169956, Valid_Cost:0.220750, Test_Cost:0.218470
Epoch:35, Duration:15.487442, Train_Cost:0.173429, Valid_Cost:0.219352, Test_Cost:0.220965
Epoch:36, Duration:16.011712, Train_Cost:0.165427, Valid_Cost:0.215331, Test_Cost:0.217150
Epoch:37, Duration:15.341629, Train_Cost:0.169419, Valid_Cost:0.215435, Test_Cost:0.215554
Epoch:38, Duration:15.569430, Train_Cost:0.163401, Valid_Cost:0.209767, Test_Cost:0.210637
Epoch:39, Duration:15.480217, Train_Cost:0.168820, Valid_Cost:0.242079, Test_Cost:0.238988
Epoch:40, Duration:15.573639, Train_Cost:0.161143, Valid_Cost:0.212502, Test_Cost:0.213082
Epoch:41, Duration:15.531558, Train_Cost:0.162624, Valid_Cost:0.257389, Test_Cost:0.253927
Epoch:42, Duration:15.909556, Train_Cost:0.153248, Valid_Cost:0.216325, Test_Cost:0.213961
Epoch:43, Duration:15.027514, Train_Cost:0.156965, Valid_Cost:0.220468, Test_Cost:0.218844
Epoch:44, Duration:15.487195, Train_Cost:0.158135, Valid_Cost:0.211054, Test_Cost:0.208542
Epoch:45, Duration:15.879450, Train_Cost:0.146850, Valid_Cost:0.235983, Test_Cost:0.233565
Epoch:46, Duration:15.534274, Train_Cost:0.149458, Valid_Cost:0.218762, Test_Cost:0.222674
Epoch:47, Duration:15.381771, Train_Cost:0.145131, Valid_Cost:0.217083, Test_Cost:0.221291
Epoch:48, Duration:15.313857, Train_Cost:0.154089, Valid_Cost:0.217491, Test_Cost:0.215610
Epoch:49, Duration:15.874010, Train_Cost:0.133575, Valid_Cost:0.221791, Test_Cost:0.223780
Best Epoch:38, Avg_Duration:15.661317, Train_Cost:0.163401, Valid_Cost:0.209767, Test_Cost:0.210637
