Epoch:0, Duration:17.306124, Train_Cost:0.556537, Valid_Cost:0.550905, Test_Cost:0.520864
Epoch:1, Duration:16.189358, Train_Cost:0.497822, Valid_Cost:0.516674, Test_Cost:0.477536
Epoch:2, Duration:15.986474, Train_Cost:0.472109, Valid_Cost:0.498560, Test_Cost:0.449635
Epoch:3, Duration:15.824121, Train_Cost:0.455703, Valid_Cost:0.486914, Test_Cost:0.439059
Epoch:4, Duration:16.541669, Train_Cost:0.446803, Valid_Cost:0.496823, Test_Cost:0.473309
Epoch:5, Duration:15.938678, Train_Cost:0.435227, Valid_Cost:0.458578, Test_Cost:0.435389
Epoch:6, Duration:22.505837, Train_Cost:0.426460, Valid_Cost:0.445958, Test_Cost:0.438217
Epoch:7, Duration:19.294292, Train_Cost:0.397305, Valid_Cost:0.407122, Test_Cost:0.404374
Epoch:8, Duration:19.703166, Train_Cost:0.354715, Valid_Cost:0.364324, Test_Cost:0.383565
Epoch:9, Duration:17.213147, Train_Cost:0.317910, Valid_Cost:0.319383, Test_Cost:0.357965
Epoch:10, Duration:19.624620, Train_Cost:0.285147, Valid_Cost:0.288967, Test_Cost:0.330372
Epoch:11, Duration:19.781862, Train_Cost:0.260082, Valid_Cost:0.368056, Test_Cost:0.401994
Epoch:12, Duration:18.601120, Train_Cost:0.250486, Valid_Cost:0.249338, Test_Cost:0.278129
Epoch:13, Duration:18.120565, Train_Cost:0.234415, Valid_Cost:0.235137, Test_Cost:0.254862
Epoch:14, Duration:24.903947, Train_Cost:0.231967, Valid_Cost:0.228929, Test_Cost:0.241130
Epoch:15, Duration:18.645070, Train_Cost:0.217719, Valid_Cost:0.223938, Test_Cost:0.233221
Epoch:16, Duration:20.328139, Train_Cost:0.215800, Valid_Cost:0.219371, Test_Cost:0.226764
Epoch:17, Duration:18.425791, Train_Cost:0.211888, Valid_Cost:0.214061, Test_Cost:0.218812
Epoch:18, Duration:18.883498, Train_Cost:0.217579, Valid_Cost:0.213466, Test_Cost:0.215440
Epoch:19, Duration:17.532088, Train_Cost:0.207951, Valid_Cost:0.242961, Test_Cost:0.240555
Epoch:20, Duration:19.691128, Train_Cost:0.213322, Valid_Cost:0.243623, Test_Cost:0.244167
Epoch:21, Duration:17.160329, Train_Cost:0.210470, Valid_Cost:0.228010, Test_Cost:0.224306
Epoch:22, Duration:17.951006, Train_Cost:0.213170, Valid_Cost:0.213107, Test_Cost:0.211804
Epoch:23, Duration:20.719420, Train_Cost:0.201920, Valid_Cost:0.212656, Test_Cost:0.208650
Epoch:24, Duration:18.294605, Train_Cost:0.205312, Valid_Cost:0.206638, Test_Cost:0.203512
Epoch:25, Duration:17.720028, Train_Cost:0.194689, Valid_Cost:0.208784, Test_Cost:0.205721
Epoch:26, Duration:18.824873, Train_Cost:0.198095, Valid_Cost:0.205767, Test_Cost:0.201239
Epoch:27, Duration:18.872582, Train_Cost:0.201498, Valid_Cost:0.202816, Test_Cost:0.199112
Epoch:28, Duration:19.671516, Train_Cost:0.193776, Valid_Cost:0.199842, Test_Cost:0.194084
Epoch:29, Duration:18.883565, Train_Cost:0.197557, Valid_Cost:0.206165, Test_Cost:0.200225
Epoch:30, Duration:18.942871, Train_Cost:0.187932, Valid_Cost:0.212950, Test_Cost:0.206579
Epoch:31, Duration:20.138258, Train_Cost:0.195851, Valid_Cost:0.210594, Test_Cost:0.203901
Epoch:32, Duration:19.645416, Train_Cost:0.191438, Valid_Cost:0.202405, Test_Cost:0.192549
Epoch:33, Duration:22.878158, Train_Cost:0.185681, Valid_Cost:0.221037, Test_Cost:0.212239
Epoch:34, Duration:16.722588, Train_Cost:0.187794, Valid_Cost:0.208899, Test_Cost:0.201179
Epoch:35, Duration:17.121984, Train_Cost:0.186015, Valid_Cost:0.197846, Test_Cost:0.190224
Epoch:36, Duration:17.224885, Train_Cost:0.182433, Valid_Cost:0.203575, Test_Cost:0.193816
Epoch:37, Duration:22.665530, Train_Cost:0.179355, Valid_Cost:0.199997, Test_Cost:0.185855
Epoch:38, Duration:22.911430, Train_Cost:0.181993, Valid_Cost:0.205009, Test_Cost:0.195296
Epoch:39, Duration:17.377467, Train_Cost:0.172906, Valid_Cost:0.197135, Test_Cost:0.184898
Epoch:40, Duration:21.666220, Train_Cost:0.175577, Valid_Cost:0.198165, Test_Cost:0.185978
Epoch:41, Duration:19.113976, Train_Cost:0.172712, Valid_Cost:0.219334, Test_Cost:0.211781
Epoch:42, Duration:21.653447, Train_Cost:0.185264, Valid_Cost:0.204825, Test_Cost:0.196276
Epoch:43, Duration:22.226440, Train_Cost:0.170984, Valid_Cost:0.201211, Test_Cost:0.191816
Epoch:44, Duration:18.461046, Train_Cost:0.170242, Valid_Cost:0.210655, Test_Cost:0.202124
Epoch:45, Duration:18.687706, Train_Cost:0.171984, Valid_Cost:0.207422, Test_Cost:0.196984
Epoch:46, Duration:17.585622, Train_Cost:0.166038, Valid_Cost:0.211377, Test_Cost:0.199361
Epoch:47, Duration:17.560521, Train_Cost:0.167980, Valid_Cost:0.203074, Test_Cost:0.191571
Epoch:48, Duration:18.233734, Train_Cost:0.167155, Valid_Cost:0.216346, Test_Cost:0.207174
Epoch:49, Duration:23.072525, Train_Cost:0.154260, Valid_Cost:0.206246, Test_Cost:0.195605
Best Epoch:39, Avg_Duration:19.060569, Train_Cost:0.172906, Valid_Cost:0.197135, Test_Cost:0.184898
