Epoch:0, Duration:17.097243, Train_Cost:1.233083, Valid_Cost:0.548812, Test_Cost:0.486915
Epoch:1, Duration:18.884602, Train_Cost:0.639796, Valid_Cost:0.518694, Test_Cost:0.482523
Epoch:2, Duration:18.885620, Train_Cost:0.497068, Valid_Cost:0.503914, Test_Cost:0.450006
Epoch:3, Duration:17.828165, Train_Cost:0.457375, Valid_Cost:0.507448, Test_Cost:0.448784
Epoch:4, Duration:18.157085, Train_Cost:0.451120, Valid_Cost:0.481211, Test_Cost:0.444223
Epoch:5, Duration:16.838173, Train_Cost:0.440122, Valid_Cost:0.470391, Test_Cost:0.434286
Epoch:6, Duration:16.727776, Train_Cost:0.428070, Valid_Cost:0.466756, Test_Cost:0.427312
Epoch:7, Duration:16.750121, Train_Cost:0.412795, Valid_Cost:0.455174, Test_Cost:0.442333
Epoch:8, Duration:18.296475, Train_Cost:0.388599, Valid_Cost:0.427476, Test_Cost:0.412912
Epoch:9, Duration:16.239253, Train_Cost:0.362782, Valid_Cost:0.373945, Test_Cost:0.386756
Epoch:10, Duration:17.042615, Train_Cost:0.323214, Valid_Cost:0.339439, Test_Cost:0.366542
Epoch:11, Duration:15.979231, Train_Cost:0.295225, Valid_Cost:0.311520, Test_Cost:0.346673
Epoch:12, Duration:15.856809, Train_Cost:0.280534, Valid_Cost:0.291067, Test_Cost:0.327287
Epoch:13, Duration:17.618239, Train_Cost:0.265698, Valid_Cost:0.280976, Test_Cost:0.314723
Epoch:14, Duration:18.197933, Train_Cost:0.251308, Valid_Cost:0.266967, Test_Cost:0.298851
Epoch:15, Duration:19.009300, Train_Cost:0.248946, Valid_Cost:0.251869, Test_Cost:0.277648
Epoch:16, Duration:18.912669, Train_Cost:0.239132, Valid_Cost:0.284364, Test_Cost:0.299121
Epoch:17, Duration:18.998083, Train_Cost:0.234009, Valid_Cost:0.238256, Test_Cost:0.254079
Epoch:18, Duration:18.485356, Train_Cost:0.230160, Valid_Cost:0.231311, Test_Cost:0.243488
Epoch:19, Duration:17.892970, Train_Cost:0.221785, Valid_Cost:0.232073, Test_Cost:0.240268
Epoch:20, Duration:18.023435, Train_Cost:0.219811, Valid_Cost:0.230351, Test_Cost:0.234496
Epoch:21, Duration:18.424120, Train_Cost:0.216721, Valid_Cost:0.224200, Test_Cost:0.227968
Epoch:22, Duration:19.250307, Train_Cost:0.219782, Valid_Cost:0.222012, Test_Cost:0.224509
Epoch:23, Duration:15.821150, Train_Cost:0.211847, Valid_Cost:0.220009, Test_Cost:0.221628
Epoch:24, Duration:19.656366, Train_Cost:0.218007, Valid_Cost:0.220852, Test_Cost:0.220391
Epoch:25, Duration:17.975731, Train_Cost:0.209623, Valid_Cost:0.221116, Test_Cost:0.219826
Epoch:26, Duration:19.228694, Train_Cost:0.206936, Valid_Cost:0.219724, Test_Cost:0.221340
Epoch:27, Duration:22.924119, Train_Cost:0.210431, Valid_Cost:0.216594, Test_Cost:0.214950
Epoch:28, Duration:19.169755, Train_Cost:0.202030, Valid_Cost:0.226870, Test_Cost:0.222112
Epoch:29, Duration:17.260424, Train_Cost:0.197735, Valid_Cost:0.216558, Test_Cost:0.218607
Epoch:30, Duration:19.389312, Train_Cost:0.201222, Valid_Cost:0.211358, Test_Cost:0.211652
Epoch:31, Duration:17.253627, Train_Cost:0.206762, Valid_Cost:0.211802, Test_Cost:0.212579
Epoch:32, Duration:15.899894, Train_Cost:0.202412, Valid_Cost:0.212076, Test_Cost:0.211284
Epoch:33, Duration:15.904548, Train_Cost:0.197000, Valid_Cost:0.215505, Test_Cost:0.215686
Epoch:34, Duration:18.688627, Train_Cost:0.195114, Valid_Cost:0.212017, Test_Cost:0.206809
Epoch:35, Duration:18.443838, Train_Cost:0.188890, Valid_Cost:0.213098, Test_Cost:0.207424
Epoch:36, Duration:18.199774, Train_Cost:0.194928, Valid_Cost:0.209142, Test_Cost:0.207053
Epoch:37, Duration:16.997197, Train_Cost:0.190020, Valid_Cost:0.206844, Test_Cost:0.204336
Epoch:38, Duration:18.330006, Train_Cost:0.190360, Valid_Cost:0.209082, Test_Cost:0.203604
Epoch:39, Duration:19.299036, Train_Cost:0.192082, Valid_Cost:0.203776, Test_Cost:0.199206
Epoch:40, Duration:17.077326, Train_Cost:0.189803, Valid_Cost:0.207982, Test_Cost:0.203778
Epoch:41, Duration:18.273721, Train_Cost:0.188958, Valid_Cost:0.207306, Test_Cost:0.202049
Epoch:42, Duration:19.625563, Train_Cost:0.188402, Valid_Cost:0.203435, Test_Cost:0.196752
Epoch:43, Duration:19.176619, Train_Cost:0.191237, Valid_Cost:0.206292, Test_Cost:0.200977
Epoch:44, Duration:17.603656, Train_Cost:0.182392, Valid_Cost:0.205467, Test_Cost:0.199538
Epoch:45, Duration:16.858124, Train_Cost:0.184674, Valid_Cost:0.246933, Test_Cost:0.240478
Epoch:46, Duration:19.229839, Train_Cost:0.179931, Valid_Cost:0.236841, Test_Cost:0.231233
Epoch:47, Duration:19.912930, Train_Cost:0.182153, Valid_Cost:0.237760, Test_Cost:0.229814
Epoch:48, Duration:16.566418, Train_Cost:0.187529, Valid_Cost:0.209812, Test_Cost:0.207016
Epoch:49, Duration:17.048768, Train_Cost:0.175455, Valid_Cost:0.211663, Test_Cost:0.205066
Best Epoch:42, Avg_Duration:18.024213, Train_Cost:0.188402, Valid_Cost:0.203435, Test_Cost:0.196752
